https://google.pl  13/06/2017
Blogger = 1
Chrome = 1
Dla = 1
Dokumenty = 1
Dysk = 1
Enter = 3
Gmail = 2
Google = 9
Grafika = 1
Hangouts = 1
Historia = 1
Kalendarz = 1
KeepJeszcze = 1
Kliknij = 1
Kontakty = 1
Książki = 1
Mapy = 1
Moje = 1
Naciśnij = 3
O = 1
OK = 3
Play = 1
Polska = 1
Pomoc = 1
Powiedz = 2
Prywatność = 1
Przeczytaj = 1
Prześlij = 1
Przypomnienie = 1
Przypomnij = 1
Reklamuj = 1
Szukanie = 1
Tłumacz = 1
Ustawienia = 2
Używasz = 1
Warunki = 1
Wiadomości = 1
Więcej = 2
Wyszukiwanie = 2
Wyszukiwarka = 1
Wyszukuj = 1
YouTube = 1
Zaloguj = 1
ZdjęciaWięcej = 1
Zgłoś = 1
a = 1
aby = 5
bez = 1
co = 1
czytnika = 1
dotycząca = 1
dynamiczne = 3
dziękujęWłącz = 1
ekranowego = 1
firm = 1
głosowe = 1
informacji = 1
informacjiNie = 1
jest = 2
konto = 1
nas = 1
nieaktywne = 1
niedostępne = 1
nieodpowiednią = 1
o = 1
od = 1
opinię = 1
palcem = 1
podpowiedź = 1
polityce = 1
powiesz = 1
powodu = 1
połączenia = 1
prywatności = 1
później = 2
rozpocząć = 1
ruszania = 1
się = 2
teraz = 1
to = 1
tutaj = 1
więcej = 1
wolnego = 1
wyszuka = 1
wyszukać = 3
wyszukiwania = 2
wyszukiwanie = 2
wyłączyć = 1
z = 1
zaawansowane = 1
